"","Name","OverallRank","Seattle","NYC","UniqueToSeattle","UniqueToNYC"
"1","Luna",1,1,4,FALSE,FALSE
"2","Bella",2,4,3,FALSE,FALSE
"3","Charlie",3,2,6,FALSE,FALSE
"4","Max",4,6,5,FALSE,FALSE
"5","Lucy",5,3,13,FALSE,FALSE
"6","Coco",6,20,7,FALSE,TRUE
"7","Daisy",7,5,12,FALSE,FALSE
"8","Lola",8,14,8,FALSE,FALSE
"9","Milo",9,9,9,FALSE,FALSE
"10","Teddy",10,33,10,FALSE,TRUE
"11","Buddy",11,18,15,FALSE,FALSE
"12","Rocky",12,51,11,FALSE,TRUE
"13","Bailey",13,25,14,FALSE,FALSE
"14","Penny",14,8,25,FALSE,FALSE
"15","Leo",15,22,17,FALSE,FALSE
"16","Stella",16,11,24,FALSE,FALSE
"17","Rosie",17,7,30,FALSE,FALSE
"18","Oliver",18,24,18,FALSE,FALSE
"19","Cooper",19,13,22,FALSE,FALSE
"20","Lily",20,12,28,FALSE,FALSE
"21","Ruby",21,10,36,FALSE,FALSE
"22","Toby",22,36,19,FALSE,FALSE
"23","Lucky",23,60,16,FALSE,TRUE
"24","Molly",24,27,32,FALSE,FALSE
"25","Pepper",25,16,39,FALSE,FALSE
"26","Chloe",26,47,20,FALSE,FALSE
"27","Maggie",27,19,37,FALSE,FALSE
"28","Jack",28,23,44,FALSE,FALSE
"29","Ollie",29,26,47,FALSE,FALSE
"30","Lulu",30,41,35,FALSE,FALSE
"31","Sophie",31,29,42,FALSE,FALSE
"32","Sadie",32,28,45,FALSE,FALSE
"33","Ginger",33,53,33,FALSE,FALSE
"34","Mia",34,82,23,FALSE,TRUE
"35","Olive",35,17,85,FALSE,FALSE
"36","Riley",36,39,41,FALSE,FALSE
"37","Scout",37,15,100,TRUE,FALSE
"38","Loki",38,31,65,FALSE,FALSE
"39","Louie",39,46,48,FALSE,FALSE
"40","Blue",40,59,38,FALSE,FALSE
"41","Oreo",41,113,27,FALSE,TRUE
"42","Oscar",42,32,66,FALSE,FALSE
"43","Bear",43,43,55,FALSE,FALSE
"44","Jasper",44,38,61,FALSE,FALSE
"45","Winston",45,54,49,FALSE,FALSE
"46","Poppy",46,21,139,TRUE,FALSE
"47","Cookie",47,132,31,FALSE,TRUE
"48","Henry",48,34,73,FALSE,FALSE
"49","Gracie",49,35,72,FALSE,FALSE
"50","Frankie",50,56,57,FALSE,FALSE
